"UserName","Name","DNSHostName","Enabled","IPv4Address","Operating System","Logon Age (days)","Password Age (days)","Dormant (> 90 days)","Password Age (> 30 days)","Delegation Type","Delegation Protocol","Delegation Services","Primary Group ID","SID","SIDHistory","Description","ms-ds-CreatorSid","Last Logon Date","Password LastSet","UserAccountControl","whenCreated","whenChanged","Distinguished Name"
"PHL-L-SL510FBZF$","PHL-L-SL510FBZF","PHL-L-SL510FBZFW.solomonedwards.com","True",,"Windows XP Professional Service Pack 3 5.1 (2600)","4663","5468","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-11678","","","","2/1/2013 2:18:23 PM","11/19/2010 3:05:16 PM","4096","11/19/2010 8:05:16 PM","5/13/2021 2:40:14 PM","CN=PHL-L-SL510FBZF,CN=Computers,DC=solomonedwards,DC=com"
"HOU-L-NX63101M5$","HOU-L-NX63101M5","hou-l-nx63101M58.solomonedwards.com","True",,"Windows XP Professional Service Pack 3 5.1 (2600)","4663","5007","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-12909","","","","2/1/2013 2:24:43 PM","2/23/2012 10:24:56 AM","4096","5/17/2011 6:38:33 PM","5/13/2021 2:40:19 PM","CN=HOU-L-NX63101M5,CN=Computers,DC=solomonedwards,DC=com"
"PHL-L-SL510FBZE$","PHL-L-SL510FBZE","PHL-L-SL510FBZEK.solomonedwards.com","True",,"Windows XP Professional Service Pack 3 5.1 (2600)","4663","4779","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-11683","","","","2/1/2013 2:18:24 PM","10/8/2012 10:09:31 AM","4096","11/23/2010 8:31:18 PM","5/13/2021 2:40:14 PM","CN=PHL-L-SL510FBZE,CN=Computers,DC=solomonedwards,DC=com"
"SURFACE5-002202$","SURFACE5-002202","SURFACE5-002202.solomonedwards.com","True","10.32.254.202","Windows 10 Pro 10.0 (19045)","761","775","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-31637","","","","10/9/2023 10:27:31 AM","9/25/2023 8:45:46 AM","4096","3/5/2019 4:54:16 PM","10/9/2023 2:27:44 PM","CN=SURFACE5-002202,CN=Computers,DC=solomonedwards,DC=com"
"PHLSPT01$","PHLSPT01","phlspt01.solomonedwards.com","True","192.168.1.16","Windows Server 2003 Service Pack 2 5.2 (3790)","1645","1667","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-11397","","","","5/8/2021 4:03:10 AM","4/16/2021 12:51:38 AM","4096","4/3/2010 12:39:41 AM","5/13/2021 2:40:57 PM","CN=PHLSPT01,CN=Computers,DC=solomonedwards,DC=com"
"SFO-ELITEBOOK-D$","SFO-ELITEBOOK-D","SFO-EliteBook-DSO.solomonedwards.com","True","192.168.8.85","Windows 10 Pro 10.0 (19042)","1443","1436","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-18575","","","","11/25/2021 10:40:08 PM","12/3/2021 5:47:50 AM","4096","1/26/2016 7:48:25 PM","12/3/2021 10:48:26 AM","CN=SFO-ELITEBOOK-D,CN=Computers,DC=solomonedwards,DC=com"
"IADCTXSH001$","IADCTXSH001","IADCTXSH001.solomonedwards.com","True","10.32.124.182","Windows Server 2016 Standard 10.0 (14393)","1","6","False","False",,,,"515","S-1-5-21-1191714633-765097213-697575874-34907","","","","11/7/2025 11:11:13 AM","11/2/2025 6:36:04 AM","4128","9/9/2019 6:13:51 PM","11/7/2025 4:10:44 PM","CN=IADCTXSH001,OU=Production,OU=SessionHosts,OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com"
"PHLC-L-444003YS$","PHLC-L-444003YS","PHLC-L-444003YS.solomonedwards.com","True",,"Windows 7 Enterprise Service Pack 1 6.1 (7601)","4195","4195","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-18275","","","","5/15/2014 10:44:35 AM","5/15/2014 10:41:09 AM","4096","5/15/2014 2:41:09 PM","5/13/2021 2:40:18 PM","CN=PHLC-L-444003YS,CN=Computers,DC=solomonedwards,DC=com"
"DCC-L-611003KM$","DCC-L-611003KM","DCC-L-611003KM.solomonedwards.com","True",,"Windows XP Professional Service Pack 3 5.1 (2600)","4663","6267","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-5971","","","","2/1/2013 2:26:39 PM","9/11/2008 9:22:44 AM","4096","4/28/2005 9:10:34 PM","5/13/2021 2:40:15 PM","CN=DCC-L-611003KM,OU=SEG Computers,DC=solomonedwards,DC=com"
"PHLEXCH01$","PHLEXCH01","phlexch01.solomonedwards.com","True",,"Windows 2000 Server Service Pack 4 5.0 (2195)","4663","5147","True","True",,,,"515","S-1-5-21-1191714633-765097213-697575874-1478","","PHL Exchange 2000 Server","","2/1/2013 2:19:39 PM","10/6/2011 8:51:34 AM","4096","6/19/2002 12:50:10 PM","5/13/2021 2:39:39 PM","CN=PHLEXCH01,CN=Computers,DC=solomonedwards,DC=com"
