"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","whenCreated","whenChanged","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","k.root-servers.net","A","193.0.14.129","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=k.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","f.root-servers.net","A","192.5.5.241","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=f.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","@","NS","l.root-servers.net.","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:39 PM","True","DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","l.root-servers.net","A","198.32.64.12","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=l.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","m.root-servers.net","A","202.12.27.33","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=m.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","i.root-servers.net","A","192.36.148.17","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=i.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","e.root-servers.net","A","192.203.230.10","0","0","[static]","0","3/2/2006 9:45:09 PM","5/13/2021 2:39:40 PM","True","DC=e.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","d.root-servers.net","A","128.8.10.90","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=d.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","a.root-servers.net","A","198.41.0.4","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=a.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","h.root-servers.net","A","128.63.2.53","0","0","[static]","0","3/2/2006 9:42:15 PM","5/13/2021 2:39:40 PM","True","DC=h.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","c.root-servers.net","A","192.33.4.12","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=c.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","g.root-servers.net","A","192.112.36.4","0","0","[static]","0","3/2/2006 9:45:09 PM","5/13/2021 2:39:40 PM","True","DC=g.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","b.root-servers.net","A","192.228.79.201","0","0","[static]","0","12/5/2003 5:42:24 PM","5/13/2021 2:39:40 PM","True","DC=b.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","j.root-servers.net","A","192.58.128.30","0","0","[static]","0","6/22/2001 1:24:02 AM","5/13/2021 2:39:40 PM","True","DC=j.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","173","PTR","atlc-l-6100542p.solomonedwards.com.","1200","3551702","3/6/2006 2:00:00 PM","606","3/6/2006 2:11:21 PM","5/13/2021 2:39:40 PM","True","DC=173,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","158","PTR","atlc-l-6100542p.solomonedwards.com.","1200","3551942","3/16/2006 2:00:00 PM","608","2/15/2006 1:37:53 PM","5/13/2021 2:39:40 PM","True","DC=158,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","101","PTR","atlc-l-61200tn9.solomonedwards.com.","1200","3567661","12/31/2007 1:00:00 PM","772","12/31/2007 1:00:06 PM","5/13/2021 2:39:43 PM","True","DC=101,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","103","PTR","atlp-l-73001kmg.solomonedwards.com.","1200","3567662","12/31/2007 2:00:00 PM","773","12/31/2007 2:52:23 PM","5/13/2021 2:39:43 PM","True","DC=103,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","147","PTR","atlc-l-63100cnh.solomonedwards.com.","1200","3569006","2/25/2008 2:00:00 PM","780","1/7/2008 1:58:29 PM","5/13/2021 2:39:43 PM","True","DC=147,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","191","PTR","atlc-l-6110295s.solomonedwards.com.","1200","3553740","5/30/2006 12:00:00 PM","612","5/30/2006 12:12:50 PM","5/13/2021 2:39:40 PM","True","DC=191,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","146","PTR","atlp-l-73001kmg.solomonedwards.com.","1200","3567902","1/10/2008 2:00:00 PM","775","1/10/2008 2:56:23 PM","5/13/2021 2:39:43 PM","True","DC=146,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","194","PTR","atlc-l-61200tn9.solomonedwards.com.","1200","3553915","6/6/2006 7:00:00 PM","615","6/6/2006 7:02:45 PM","5/13/2021 2:39:40 PM","True","DC=194,DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
