"Name","RecordCount","USNCreated","USNChanged","whenCreated","whenChanged","DistinguishedName"
"RootDNSServers","14","20514","20514","6/22/2001 1:24:02 AM","5/13/2021 2:39:39 PM","DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"2.168.192.in-addr.arpa","138","20535","20535","11/22/2003 5:07:15 PM","5/13/2021 2:39:39 PM","DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"1.168.192.in-addr.arpa","58","20593","20593","11/22/2003 5:06:18 PM","5/13/2021 2:39:40 PM","DC=1.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"4.168.192.in-addr.arpa","69","20625","20625","2/10/2006 7:40:15 PM","5/13/2021 2:39:40 PM","DC=4.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"3.168.192.in-addr.arpa","149","20628","20628","11/22/2003 5:10:05 PM","5/13/2021 2:39:40 PM","DC=3.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"5.168.192.in-addr.arpa","74","20631","20631","2/13/2006 4:09:35 PM","5/13/2021 2:39:40 PM","DC=5.168.192.in-addr.arpa,CN=MicrosoftDNS,CN=System,DC=solomonedwards,DC=com"
"RootDNSServers","14","77370","41882637","2/15/2012 9:32:09 PM","4/7/2025 5:26:09 PM","DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"RootDNSServers","14","77386","77386","2/15/2012 9:31:56 PM","5/13/2021 2:40:59 PM","DC=RootDNSServers,CN=MicrosoftDNS\0ACNF:cc8474f6-438d-4f3f-b228-1e0614ee411b,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"segwayapps.com","11","77401","41523251","2/3/2013 6:03:38 PM","4/3/2025 2:01:42 PM","DC=segwayapps.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"8.168.192.in-addr.arpa","13","77403","77403","8/20/2013 2:08:10 PM","5/13/2021 2:40:59 PM","DC=8.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"12.168.192.in-addr.arpa","11","77407","77407","6/3/2014 11:13:08 PM","5/13/2021 2:40:59 PM","DC=12.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"cloudfuzn.net","0","77410","77410","9/30/2014 7:20:02 PM","5/13/2021 2:40:59 PM","DC=cloudfuzn.net,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"_msdcs.cloudfuzn.net","0","77411","77411","9/30/2014 7:20:18 PM","5/13/2021 2:40:59 PM","DC=_msdcs.cloudfuzn.net,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"2.187.10.in-addr.arpa","4","77425","77425","6/29/2016 7:15:53 PM","5/13/2021 2:40:59 PM","DC=2.187.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"125.32.10.in-addr.arpa","1","111769","111769","5/14/2021 8:43:14 PM","5/14/2021 8:45:13 PM","DC=125.32.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"124.32.10.in-addr.arpa","4","111879","111879","5/14/2021 8:54:42 PM","5/14/2021 8:56:15 PM","DC=124.32.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","639","14657023","41523232","6/13/2023 3:09:11 PM","4/3/2025 2:01:08 PM","DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"..TrustAnchors","1","77529","77529","10/3/2011 7:10:54 PM","5/13/2021 2:40:59 PM","DC=..TrustAnchors,CN=MicrosoftDNS,DC=ForestDnsZones,DC=solomonedwards,DC=com"
"10.168.192.in-addr.arpa","25","77530","77530","2/10/2014 4:36:57 PM","5/13/2021 2:40:59 PM","DC=10.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=solomonedwards,DC=com"
"quadteam.com","0","77558","77558","9/6/2019 2:20:10 PM","5/13/2021 2:40:59 PM","DC=quadteam.com,CN=MicrosoftDNS,DC=ForestDnsZones,DC=solomonedwards,DC=com"
