"DisplayName","GUID","whenCreated","whenChanged","DistinguishedName","FilePath"
"Default Domain Policy","{31B2F340-016D-11D2-945F-00C04FB984F9}","6/22/2001 1:20:01 AM","9/15/2025 8:28:41 PM","CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}"
"Default Domain Controllers Policy","{6AC1786C-016F-11D2-945F-00C04fB984F9}","6/22/2001 1:20:01 AM","5/15/2025 3:39:44 PM","CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\sysvol\solomonedwards.com\Policies\{6AC1786C-016F-11D2-945F-00C04fB984F9}"
"Consulting","{7BF3B9FC-48F5-48BC-841C-319085991F67}","3/16/2005 8:26:57 PM","5/13/2021 2:39:40 PM","CN={7BF3B9FC-48F5-48BC-841C-319085991F67},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{7BF3B9FC-48F5-48BC-841C-319085991F67}"
"Delete Roaming Profiles","{24A25BFD-7175-40CD-BE80-833A0E0A694A}","10/21/2005 5:43:53 PM","5/13/2021 2:39:40 PM","CN={24A25BFD-7175-40CD-BE80-833A0E0A694A},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{24A25BFD-7175-40CD-BE80-833A0E0A694A}"
"Limited IE Usage","{D41CCCF1-AA09-4535-B573-EFD5DAFE5BA9}","4/28/2006 2:01:21 PM","5/13/2021 2:39:40 PM","CN={D41CCCF1-AA09-4535-B573-EFD5DAFE5BA9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{D41CCCF1-AA09-4535-B573-EFD5DAFE5BA9}"
"Infonet Setup","{050FD447-DD49-46FE-89FD-A1CA3327707E}","9/5/2006 2:32:05 PM","5/13/2021 2:39:40 PM","CN={050FD447-DD49-46FE-89FD-A1CA3327707E},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{050FD447-DD49-46FE-89FD-A1CA3327707E}"
"Remote Access","{7C1088A6-0F24-45C8-9AD0-79C7E43A56C9}","9/5/2006 2:45:53 PM","5/13/2021 2:39:40 PM","CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{7C1088A6-0F24-45C8-9AD0-79C7E43A56C9}"
"GP Users","{2354F49C-C62C-4C53-A030-ECCC0E7A44FB}","10/12/2006 4:36:19 PM","5/13/2021 2:39:40 PM","CN={2354F49C-C62C-4C53-A030-ECCC0E7A44FB},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{2354F49C-C62C-4C53-A030-ECCC0E7A44FB}"
"GPLogin","{9C7B9CBA-2482-4BED-B4EE-1D08A51950B1}","10/12/2006 6:24:01 PM","5/13/2021 2:39:40 PM","CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{9C7B9CBA-2482-4BED-B4EE-1D08A51950B1}"
"Braithwaite","{2F7ADDA7-F7C2-4E96-993F-C8E7AD147A66}","1/17/2007 3:34:07 PM","5/13/2021 2:39:41 PM","CN={2F7ADDA7-F7C2-4E96-993F-C8E7AD147A66},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{2F7ADDA7-F7C2-4E96-993F-C8E7AD147A66}"
"Outlook 2003 Editor Policy","{4D3685C3-94B7-4302-85D6-643AD623438C}","1/19/2007 3:23:15 PM","5/13/2021 2:39:41 PM","CN={4D3685C3-94B7-4302-85D6-643AD623438C},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{4D3685C3-94B7-4302-85D6-643AD623438C}"
"TS03 Server IE access","{5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B}","1/31/2007 10:09:58 PM","5/13/2021 2:39:41 PM","CN={5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B}"
"Termial Services Settings","{0B05F119-F045-4E40-B70C-67F3D2672764}","1/8/2008 5:55:25 PM","5/13/2021 2:39:43 PM","CN={0B05F119-F045-4E40-B70C-67F3D2672764},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{0B05F119-F045-4E40-B70C-67F3D2672764}"
"TS Client Time","{C75E1C3F-9BD3-4E7E-A860-5196DD015D20}","12/23/2008 3:12:41 PM","5/13/2021 2:39:45 PM","CN={C75E1C3F-9BD3-4E7E-A860-5196DD015D20},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{C75E1C3F-9BD3-4E7E-A860-5196DD015D20}"
"RAC01","{C90CD7C4-03CC-481C-9401-A8D4980BE55F}","4/24/2009 5:58:40 PM","5/13/2021 2:39:45 PM","CN={C90CD7C4-03CC-481C-9401-A8D4980BE55F},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{C90CD7C4-03CC-481C-9401-A8D4980BE55F}"
"Default TS Settings","{77CF2806-152F-40EF-9B17-1CB783EBB863}","4/27/2009 7:36:58 PM","5/13/2021 2:39:45 PM","CN={77CF2806-152F-40EF-9B17-1CB783EBB863},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{77CF2806-152F-40EF-9B17-1CB783EBB863}"
"PHLPST02 WSUS","{0FCDA1F5-2D72-43B3-8ECC-FD868EC4DB34}","9/9/2010 9:32:00 PM","5/13/2021 2:40:11 PM","CN={0FCDA1F5-2D72-43B3-8ECC-FD868EC4DB34},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{0FCDA1F5-2D72-43B3-8ECC-FD868EC4DB34}"
"XEN","{2EB93594-1260-470C-AB33-F09AA7858A72}","12/21/2010 5:19:57 PM","5/13/2021 2:40:12 PM","CN={2EB93594-1260-470C-AB33-F09AA7858A72},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{2EB93594-1260-470C-AB33-F09AA7858A72}"
"Print Add Test","{62EEEB76-5F25-4DD0-B452-D8100263CE59}","6/22/2011 2:05:39 PM","5/13/2021 2:40:14 PM","CN={62EEEB76-5F25-4DD0-B452-D8100263CE59},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{62EEEB76-5F25-4DD0-B452-D8100263CE59}"
"Xen56","{5F60D13D-4944-4D61-B72B-A72B573EA2C6}","7/31/2012 2:51:35 PM","5/13/2021 2:40:14 PM","CN={5F60D13D-4944-4D61-B72B-A72B573EA2C6},CN=Policies,CN=System,DC=solomonedwards,DC=com","\\solomonedwards.com\SysVol\solomonedwards.com\Policies\{5F60D13D-4944-4D61-B72B-A72B573EA2C6}"
