"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"top","account","1/28/2007 6:54:04 AM","5/13/2021 2:39:02 PM","CN=account,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","Account-Expires","10/21/1630 4:21:02 PM","5/13/2021 2:39:03 PM","CN=Account-Expires,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","Account-Name-History","10/21/1630 4:21:02 PM","5/13/2021 2:39:01 PM","CN=Account-Name-History,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Aggregate-Token-Rate-Per-User","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Aggregate-Token-Rate-Per-User,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Allocable-RSVP-Bandwidth","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Allocable-RSVP-Bandwidth,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Cache-Timeout","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Cache-Timeout,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Direction","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Direction,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-DSBM-DeadTime","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-DSBM-DeadTime,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-DSBM-Priority","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-DSBM-Priority,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-DSBM-Refresh","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-DSBM-Refresh,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Enable-ACS-Service","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Enable-ACS-Service,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Enable-RSVP-Accounting","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Enable-RSVP-Accounting,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Enable-RSVP-Message-Logging","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Enable-RSVP-Message-Logging,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Event-Log-Level","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Event-Log-Level,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Identity-Name","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Identity-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Aggregate-Peak-Rate-Per-User","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Aggregate-Peak-Rate-Per-User,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Duration-Per-Flow","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Duration-Per-Flow,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-No-Of-Account-Files","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-No-Of-Account-Files,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-No-Of-Log-Files","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-No-Of-Log-Files,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Peak-Bandwidth","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Peak-Bandwidth,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Peak-Bandwidth-Per-Flow","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Peak-Bandwidth-Per-Flow,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Size-Of-RSVP-Account-File","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Size-Of-RSVP-Account-File,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Size-Of-RSVP-Log-File","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Size-Of-RSVP-Log-File,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Token-Bucket-Per-Flow","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Token-Bucket-Per-Flow,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Max-Token-Rate-Per-Flow","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Max-Token-Rate-Per-Flow,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ACS-Maximum-SDU-Size","10/21/1630 4:21:03 PM","5/13/2021 2:39:01 PM","CN=ACS-Maximum-SDU-Size,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
