"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"Microsoft Exchange Security Groups","1","OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com",,,,,"False","",""
"Organizational Units","1","OU=Organizational Units,DC=solomonedwards,DC=com","2","Remote Access","False","True","False","[LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={050FD447-DD49-46FE-89FD-A1CA3327707E},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Organizational Units","1","OU=Organizational Units,DC=solomonedwards,DC=com","1","Infonet Setup","False","True","False","[LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={050FD447-DD49-46FE-89FD-A1CA3327707E},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"System Users","2","OU=System Users,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"CBANK","3","OU=CBANK,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SEG Servers","1","OU=SEG Servers,DC=solomonedwards,DC=com","1","Termial Services Settings","False","True","False","[LDAP://CN={0B05F119-F045-4E40-B70C-67F3D2672764},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"DrFirst","3","OU=DrFirst,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Magellan Health","3","OU=Magellan Health,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Blue Ridge Partners","3","OU=Blue Ridge Partners,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Apple LG","3","OU=Apple LG,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SolomonEdwardsGroup, LLC","2","OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","4","Windows Update","False","True","False","[LDAP://cn={FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={00C0E09B-1859-4410-AB30-56949270119F},cn=policies,cn=system,DC=solomonedwards,DC=com;2][LDAP://CN={5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com;2]","0"
"SolomonEdwardsGroup, LLC","2","OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","3","OfficeColorTheme","True","True","False","[LDAP://cn={FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={00C0E09B-1859-4410-AB30-56949270119F},cn=policies,cn=system,DC=solomonedwards,DC=com;2][LDAP://CN={5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com;2]","0"
"SolomonEdwardsGroup, LLC","2","OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","2","TS03 Server IE access","False","True","False","[LDAP://cn={FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={00C0E09B-1859-4410-AB30-56949270119F},cn=policies,cn=system,DC=solomonedwards,DC=com;2][LDAP://CN={5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com;2]","0"
"SolomonEdwardsGroup, LLC","2","OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","GPLogin","True","True","False","[LDAP://cn={FC1E8C1A-796C-416D-B1F9-A419F0F1EEF9},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={00C0E09B-1859-4410-AB30-56949270119F},cn=policies,cn=system,DC=solomonedwards,DC=com;2][LDAP://CN={5B17CE02-7AF3-42F4-AD52-7F3E0F7EB32B},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={9C7B9CBA-2482-4BED-B4EE-1D08A51950B1},CN=Policies,CN=System,DC=solomonedwards,DC=com;2]","0"
"ADFS","2","OU=ADFS,OU=SEG Servers,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"PA - King of Prussia","3","OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Avantor","3","OU=Avantor,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Corporate Services","4","OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
